OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,Sales
O00001,2023-12-08,C0399,P0044,1,23743.99,0.0,23743.99
O00002,2024-06-27,C0262,P0050,3,18500.13,0.05,52725.37
O00003,2023-08-30,C0053,P0038,3,13880.81,0.2,33313.94
O00004,2023-06-06,C0390,P0020,2,9352.23,0.15,15898.79
O00005,2024-04-20,C0387,P0145,5,19181.76,0.2,76727.04
O00006,2024-10-20,C0326,P0160,3,9170.7,0.1,24760.89
O00007,2023-06-04,C0226,P0018,4,21450.45,0.1,77221.62
O00008,2023-10-09,C0303,P0015,3,9349.79,0.1,25244.43
O00009,2024-04-17,C0232,P0010,1,14228.17,0.1,12805.35
O00010,2023-03-20,C0331,P0024,5,3767.79,0.15,16013.11
O00011,2024-04-18,C0298,P0142,1,7894.51,0.2,6315.61
O00012,2024-10-29,C0097,P0083,5,22406.79,0.05,106432.25
O00013,2023-03-05,C0231,P0027,3,7894.76,0.0,23684.28
O00014,2024-05-31,C0331,P0045,1,9933.64,0.15,8443.59
O00015,2024-03-25,C0269,P0134,5,6501.21,0.1,29255.44
O00016,2023-10-17,C0199,P0105,3,20337.7,0.0,61013.1
O00017,2024-10-08,C0332,P0086,1,10042.28,0.2,8033.82
O00018,2024-11-25,C0198,P0073,3,5078.65,0.2,12188.76
O00019,2023-06-03,C0171,P0021,5,15942.33,0.1,71740.49
O00020,2023-11-14,C0496,P0101,2,17888.13,0.0,35776.26
O00021,2023-11-14,C0287,P0097,3,6353.1,0.2,15247.44
O00022,2023-04-06,C0331,P0109,5,16646.71,0.1,74910.19
O00023,2023-11-13,C0093,P0055,3,1253.92,0.15,3197.5
O00024,2023-07-16,C0116,P0036,2,12240.64,0.0,24481.28
O00025,2024-06-03,C0395,P0139,5,10967.37,0.1,49353.17
O00026,2024-09-24,C0068,P0153,4,9840.0,0.05,37392.0
O00027,2024-12-10,C0395,P0160,2,8807.7,0.0,17615.4
O00028,2024-02-25,C0187,P0061,4,3520.24,0.15,11968.82
O00029,2023-08-28,C0274,P0062,3,13678.45,0.15,34880.05
O00030,2023-07-18,C0189,P0147,4,12981.85,0.1,46734.66
O00031,2024-01-27,C0258,P0136,4,8337.37,0.05,31682.01
O00032,2024-09-11,C0071,P0065,1,6813.1,0.1,6131.79
O00033,2024-07-21,C0479,P0027,5,7617.2,0.1,34277.4
O00034,2023-03-27,C0391,P0042,3,23447.26,0.2,56273.42
O00035,2023-05-31,C0426,P0112,1,10590.36,0.05,10060.84
O00036,2024-04-06,C0453,P0090,1,7146.74,0.15,6074.73
O00037,2024-05-29,C0192,P0061,4,3922.41,0.1,14120.68
O00038,2023-08-18,C0015,P0082,1,1519.84,0.1,1367.86
O00039,2023-05-30,C0071,P0010,3,16731.23,0.15,42664.64
O00040,2024-12-13,C0426,P0036,4,13848.83,0.0,55395.32
O00041,2023-03-23,C0010,P0066,2,16316.8,0.2,26106.88
O00042,2024-09-15,C0271,P0109,1,18863.25,0.05,17920.09
O00043,2023-11-05,C0063,P0013,2,22952.42,0.2,36723.87
O00044,2024-04-13,C0033,P0029,4,20056.18,0.0,80224.72
O00045,2024-10-09,C0264,P0148,2,22424.5,0.1,40364.1
O00046,2024-03-15,C0001,P0158,3,6002.27,0.15,15305.79
O00047,2023-07-11,C0341,P0022,5,2956.84,0.0,14784.2
O00048,2024-06-22,C0279,P0130,5,19147.69,0.15,81377.68
O00049,2024-04-26,C0023,P0100,3,2502.28,0.0,7506.84
O00050,2024-01-01,C0404,P0018,3,20099.25,0.0,60297.75
O00051,2024-08-18,C0377,P0086,2,9111.79,0.2,14578.86
O00052,2023-12-13,C0417,P0045,4,12362.83,0.15,42033.62
O00053,2024-10-08,C0094,P0035,1,21982.35,0.15,18685.0
O00054,2023-02-07,C0151,P0052,1,4616.97,0.0,4616.97
O00055,2023-11-20,C0478,P0080,5,13048.9,0.2,52195.6
O00056,2024-04-29,C0130,P0010,2,13851.21,0.0,27702.42
O00057,2024-11-02,C0170,P0070,1,25598.58,0.15,21758.79
O00058,2024-02-14,C0381,P0113,4,5451.82,0.05,20716.92
O00059,2024-05-23,C0355,P0128,3,6554.43,0.2,15730.63
O00060,2023-10-01,C0411,P0022,4,2245.76,0.2,7186.43
O00061,2023-07-04,C0280,P0076,3,7543.03,0.1,20366.18
O00062,2024-11-07,C0152,P0079,4,12913.86,0.15,43907.12
O00063,2023-06-20,C0354,P0114,3,5933.94,0.1,16021.64
O00064,2024-09-21,C0223,P0071,1,19432.26,0.15,16517.42
O00065,2024-01-08,C0263,P0041,1,20489.96,0.2,16391.97
O00066,2024-11-25,C0401,P0113,1,5076.24,0.05,4822.43
O00067,2024-10-22,C0188,P0093,4,13589.73,0.0,54358.92
O00068,2024-09-11,C0079,P0116,3,19106.21,0.0,57318.63
O00069,2024-08-10,C0071,P0136,3,7062.55,0.1,19068.89
O00070,2023-09-13,C0492,P0030,1,3458.29,0.15,2939.55
O00071,2024-06-14,C0199,P0144,1,8067.73,0.1,7260.96
O00072,2024-12-21,C0229,P0055,5,1029.4,0.15,4374.95
O00073,2023-07-24,C0063,P0035,1,20308.0,0.15,17261.8
O00074,2023-03-31,C0415,P0082,3,1464.95,0.2,3515.88
